,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
289,SELL,2017-09-20 13:25:00+05:30,24971.65,24976.35,24954.45,24958.35,0,24982.58,24998.05,25010.86,25002.16,21.07,29.66,25011.5,24962.3,24954.45,2017-09-20 13:25:00+05:30,BANNNIFTY 50_v2_v2,25016.1,2017-09-20 14:35:00+05:30
290,SELL,2017-09-21 09:55:00+05:30,24911.55,24912.05,24836.4,24836.4,0,24948.45,24971.6,24989.54,24992.83,20.45,19.15,25019.15,24910.8,24836.4,2017-09-21 09:55:00+05:30,BANNNIFTY 50_v2_v2,24290.0,2017-09-27 09:15:00+05:30
291,SELL,2017-09-27 10:25:00+05:30,24072.05,24084.7,24032.45,24035.7,0,24157.72,24160.5,24156.8,24230.33,24.51,29.65,24312.25,24055.1,24032.45,2017-09-27 10:25:00+05:30,BANNNIFTY 50_v2_v2,23977.7,2017-09-28 15:00:00+05:30
292,SELL,2017-10-05 12:40:00+05:30,24050.55,24057.15,24033.75,24038.35,0,24074.23,24099.47,24109.65,24103.4,32.78,32.17,24122.35,24045.1,24033.75,2017-10-05 12:40:00+05:30,BANNNIFTY 50_v2_v2,24101.0,2017-10-05 13:40:00+05:30
293,BUY,2017-10-06 09:45:00+05:30,24155.5,24194.15,24152.9,24191.4,0,24119.62,24100.9,24101.25,24099.32,25.07,70.83,24183.6,24037.85,24194.15,2017-10-06 09:45:00+05:30,BANNNIFTY 50_v2_v2,24134.45,2017-10-06 14:25:00+05:30
294,BUY,2017-10-09 09:35:00+05:30,24275.75,24301.5,24262.85,24301.5,0,24199.36,24181.92,24166.09,24144.42,20.24,74.63,24282.2,24133.3,24301.5,2017-10-09 09:35:00+05:30,BANNNIFTY 50_v2_v2,24327.8,2017-10-11 13:25:00+05:30
295,SELL,2017-10-11 15:25:00+05:30,24093.35,24100.15,24054.55,24055.55,0,24147.49,24243.07,24293.62,24292.71,58.0,28.6,24285.2,24065.1,24054.55,2017-10-11 15:25:00+05:30,BANNNIFTY 50_v2_v2,24221.95,2017-10-12 14:30:00+05:30
296,BUY,2017-10-13 09:25:00+05:30,24491.5,24523.0,24484.35,24513.4,0,24326.15,24237.21,24217.34,24230.13,51.38,90.5,24497.6,24116.95,24523.0,2017-10-13 09:25:00+05:30,BANNNIFTY 50_v2_v2,24589.5,2017-10-17 12:35:00+05:30
297,SELL,2017-10-18 11:00:00+05:30,24327.6,24337.95,24295.1,24300.9,0,24380.39,24484.87,24561.2,24580.08,54.47,24.37,24446.65,24316.35,24295.1,2017-10-18 11:00:00+05:30,BANNNIFTY 50_v2_v2,24223.2,2017-10-24 09:45:00+05:30
298,BUY,2017-10-25 11:35:00+05:30,24778.0,24835.85,24778.0,24807.65,0,24709.24,24562.11,24424.51,24345.7,34.46,69.93,24797.95,24607.5,24835.85,2017-10-25 11:35:00+05:30,BANNNIFTY 50_v2_v2,24848.15,2017-10-27 15:05:00+05:30
299,BUY,2017-10-30 09:40:00+05:30,24961.8,25030.55,24951.0,25011.3,0,24921.47,24921.3,24924.13,24866.54,28.23,67.01,24994.85,24813.6,25030.55,2017-10-30 09:40:00+05:30,BANNNIFTY 50_v2_v2,25540.2,2017-11-06 15:20:00+05:30
300,SELL,2017-11-07 13:30:00+05:30,25445.9,25454.3,25422.15,25422.45,0,25463.13,25493.38,25525.82,25524.14,22.35,36.97,25519.6,25426.5,25422.15,2017-11-07 13:30:00+05:30,BANNNIFTY 50_v2_v2,25345.4,2017-11-09 15:25:00+05:30
301,BUY,2017-11-10 13:45:00+05:30,25473.95,25581.25,25473.05,25565.0,0,25400.08,25358.66,25332.67,25336.76,22.55,78.18,25498.35,25277.15,25581.25,2017-11-10 13:45:00+05:30,BANNNIFTY 50_v2_v2,25327.95,2017-11-10 14:55:00+05:30
302,SELL,2017-11-14 10:05:00+05:30,25320.8,25320.85,25263.15,25266.15,0,25359.41,25409.89,25427.07,25414.19,40.74,23.72,25460.05,25295.55,25263.15,2017-11-14 10:05:00+05:30,BANNNIFTY 50_v2_v2,25395.35,2017-11-14 14:30:00+05:30
303,SELL,2017-11-15 14:35:00+05:30,25229.0,25230.45,25185.15,25189.65,0,25246.17,25256.76,25275.82,25308.75,20.5,36.66,25317.2,25194.15,25185.15,2017-11-15 14:35:00+05:30,BANNNIFTY 50_v2_v2,25305.25,2017-11-16 09:15:00+05:30
304,BUY,2017-11-16 11:40:00+05:30,25380.7,25386.35,25370.5,25382.95,0,25339.02,25309.03,25296.28,25308.44,32.02,66.47,25382.75,25305.8,25386.35,2017-11-16 11:40:00+05:30,BANNNIFTY 50_v2_v2,25739.55,2017-11-21 14:25:00+05:30
305,BUY,2017-11-22 11:55:00+05:30,25746.7,25765.7,25741.6,25763.3,0,25724.07,25741.15,25757.18,25739.68,21.24,62.0,25753.65,25665.95,25765.7,2017-11-22 11:55:00+05:30,BANNNIFTY 50_v2_v2,25742.6,2017-11-22 14:20:00+05:30
306,SELL,2017-11-23 12:40:00+05:30,25699.75,25701.9,25675.9,25677.7,0,25719.93,25736.5,25747.48,25745.66,24.05,28.82,25758.9,25694.4,25675.9,2017-11-23 12:40:00+05:30,BANNNIFTY 50_v2_v2,25734.65,2017-11-23 14:40:00+05:30
307,BUY,2017-11-27 15:00:00+05:30,25824.25,25861.55,25822.9,25859.15,0,25785.61,25763.65,25757.96,25754.87,27.33,82.47,25840.2,25729.4,25861.55,2017-11-27 15:00:00+05:30,BANNNIFTY 50_v2_v2,25823.5,2017-11-28 14:50:00+05:30
308,BUY,2017-11-29 11:10:00+05:30,25849.55,25861.0,25846.35,25860.0,0,25831.96,25840.98,25843.02,25825.24,21.37,61.05,25856.65,25783.4,25861.0,2017-11-29 11:10:00+05:30,BANNNIFTY 50_v2_v2,25824.5,2017-11-29 13:20:00+05:30
309,SELL,2017-11-29 15:20:00+05:30,25798.65,25798.65,25760.4,25762.7,0,25803.14,25818.91,25829.42,25825.04,21.34,32.58,25840.95,25771.7,25760.4,2017-11-29 15:20:00+05:30,BANNNIFTY 50_v2_v2,25171.55,2017-12-05 14:20:00+05:30
310,SELL,2017-12-06 15:00:00+05:30,24900.6,24912.25,24830.85,24849.75,0,24962.67,24995.8,25021.59,25085.05,30.06,24.09,25046.6,24872.95,24830.85,2017-12-06 15:00:00+05:30,BANNNIFTY 50_v2_v2,25063.15,2017-12-07 11:05:00+05:30
311,BUY,2017-12-08 10:50:00+05:30,25269.9,25287.6,25261.2,25284.45,0,25232.91,25152.77,25093.52,25078.93,40.74,69.25,25281.1,25055.8,25287.6,2017-12-08 10:50:00+05:30,BANNNIFTY 50_v2_v2,25245.0,2017-12-12 09:15:00+05:30
312,SELL,2017-12-12 15:05:00+05:30,25145.85,25148.85,25124.85,25125.4,0,25172.28,25192.38,25224.27,25235.01,23.09,31.05,25226.85,25134.7,25124.85,2017-12-12 15:05:00+05:30,BANNNIFTY 50_v2_v2,25229.75,2017-12-13 11:05:00+05:30
313,SELL,2017-12-13 13:55:00+05:30,25213.5,25219.75,25147.0,25147.0,0,25227.46,25205.67,25199.43,25209.0,29.32,28.44,25267.85,25210.8,25147.0,2017-12-13 13:55:00+05:30,BANNNIFTY 50_v2_v2,25097.85,2017-12-14 14:30:00+05:30
314,BUY,2017-12-15 09:30:00+05:30,25460.15,25497.75,25457.75,25497.15,0,25225.26,25116.54,25085.97,25107.11,50.94,80.75,25491.3,25038.8,25497.75,2017-12-15 09:30:00+05:30,BANNNIFTY 50_v2_v2,24880.55,2017-12-18 09:15:00+05:30
315,BUY,2017-12-19 14:30:00+05:30,25693.95,25719.2,25687.4,25716.8,0,25678.51,25669.86,25646.38,25565.8,21.6,64.01,25711.05,25625.25,25719.2,2017-12-19 14:30:00+05:30,BANNNIFTY 50_v2_v2,25598.85,2017-12-20 15:00:00+05:30
316,SELL,2017-12-26 10:35:00+05:30,25572.5,25576.9,25564.7,25565.25,0,25594.34,25607.54,25610.25,25608.53,28.34,33.44,25672.25,25565.9,25564.7,2017-12-26 10:35:00+05:30,BANNNIFTY 50_v2_v2,25606.95,2017-12-26 11:40:00+05:30
317,SELL,2017-12-27 15:20:00+05:30,25472.5,25475.8,25452.75,25461.4,0,25557.74,25603.42,25617.28,25617.19,42.67,26.05,25680.55,25467.5,25452.75,2017-12-27 15:20:00+05:30,BANNNIFTY 50_v2_v2,25546.9,2017-12-29 10:25:00+05:30
318,SELL,2018-01-01 13:20:00+05:30,25504.9,25507.45,25496.2,25501.6,0,25519.42,25531.07,25532.53,25537.32,30.94,32.26,25563.75,25504.35,25496.2,2018-01-01 13:20:00+05:30,BANNNIFTY 50_v2_v2,25549.35,2018-01-01 14:20:00+05:30
319,SELL,2018-01-01 14:50:00+05:30,25529.45,25533.1,25430.65,25431.35,0,25518.98,25525.32,25528.72,25534.45,23.47,22.55,25557.65,25496.2,25430.65,2018-01-01 14:50:00+05:30,BANNNIFTY 50_v2_v2,25445.85,2018-01-03 09:15:00+05:30
320,SELL,2018-01-03 14:20:00+05:30,25361.6,25364.7,25341.45,25345.6,0,25374.63,25380.45,25380.78,25402.95,20.0,35.63,25407.8,25351.75,25341.45,2018-01-03 14:20:00+05:30,BANNNIFTY 50_v2_v2,25387.1,2018-01-04 10:55:00+05:30
321,BUY,2018-01-04 13:35:00+05:30,25434.2,25455.75,25424.45,25448.05,0,25423.34,25401.37,25387.66,25393.24,27.84,66.47,25442.0,25397.85,25455.75,2018-01-04 13:35:00+05:30,BANNNIFTY 50_v2_v2,25639.9,2018-01-10 09:35:00+05:30
322,SELL,2018-01-10 11:45:00+05:30,25559.5,25565.9,25527.95,25544.05,0,25606.91,25639.77,25655.14,25640.89,49.85,21.18,25670.25,25550.05,25527.95,2018-01-10 11:45:00+05:30,BANNNIFTY 50_v2_v2,25633.35,2018-01-10 15:15:00+05:30
323,BUY,2018-01-12 09:25:00+05:30,25739.3,25752.9,25736.45,25751.7,0,25678.71,25657.55,25642.13,25633.0,21.69,69.38,25750.05,25614.55,25752.9,2018-01-12 09:25:00+05:30,BANNNIFTY 50_v2_v2,25615.4,2018-01-12 12:30:00+05:30
324,BUY,2018-01-12 14:10:00+05:30,25681.2,25713.4,25675.05,25713.4,0,25664.99,25671.05,25668.65,25656.24,24.46,65.04,25692.2,25557.8,25713.4,2018-01-12 14:10:00+05:30,BANNNIFTY 50_v2_v2,27259.1,2018-01-25 13:15:00+05:30
325,BUY,2018-01-25 13:55:00+05:30,27324.4,27451.5,27324.4,27378.4,0,27284.77,27318.43,27326.23,27259.49,46.93,63.02,27365.1,27152.25,27451.5,2018-01-25 13:55:00+05:30,BANNNIFTY 50_v2_v2,27374.25,2018-01-30 09:15:00+05:30
326,SELL,2018-01-31 09:15:00+05:30,27136.25,27269.85,27116.95,27200.3,0,27281.96,27311.71,27353.18,27367.69,22.05,27.31,27338.25,27242.25,27116.95,2018-01-31 09:15:00+05:30,BANNNIFTY 50_v2_v2,27398.5,2018-01-31 14:40:00+05:30
