,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
829,BUY,2022-12-29 15:00:00+05:30,18140.85,18177.85,18140.85,18175.45,0,18099.8,18073.56,18071.48,18070.54,41.35,81.7,18157.3,18033.85,19,0,1,0,18177.85,2022-12-29 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,18088.05,2022-12-30 15:00:00+05:30
830,BUY,2023-01-03 13:55:00+05:30,18217.05,18225.1,18212.75,18221.15,0,18199.65,18199.47,18194.04,18178.29,24.79,64.15,18220.5,18162.5,4,0,213,0,18225.1,2023-01-03 13:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,18174.15,2023-01-04 09:35:00+05:30
831,SELL,2023-01-04 11:05:00+05:30,18118.3,18118.3,18094.15,18097.45,0,18148.96,18175.44,18185.55,18180.08,35.64,28.65,18238.65,18114.0,0,19,0,3,18094.15,2023-01-04 11:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,17969.2,2023-01-09 09:15:00+05:30
832,BUY,2023-01-09 11:10:00+05:30,18093.05,18108.5,18091.95,18105.2,0,18056.49,17990.58,17965.46,17986.29,45.77,76.76,18101.1,17991.3,24,0,2,0,18108.5,2023-01-09 11:10:00+05:30,NIFTY 50_ema_adx_rsi_v1,18005.65,2023-01-09 13:45:00+05:30
833,SELL,2023-01-10 11:25:00+05:30,17953.95,17957.8,17940.65,17942.15,0,17977.13,18008.56,18015.2,18014.96,34.98,31.84,18030.55,17946.25,0,27,0,4,17940.65,2023-01-10 11:25:00+05:30,NIFTY 50_ema_adx_rsi_v1,17967.95,2023-01-11 10:25:00+05:30
834,SELL,2023-01-12 10:30:00+05:30,17829.7,17829.7,17812.0,17818.65,0,17869.67,17888.31,17903.08,17928.42,23.96,29.7,17944.8,17822.4,0,11,0,143,17812.0,2023-01-12 10:30:00+05:30,NIFTY 50_ema_adx_rsi_v1,17865.7,2023-01-13 12:15:00+05:30
835,BUY,2023-01-13 14:05:00+05:30,17991.25,17996.75,17980.05,17995.1,0,17949.02,17900.14,17874.84,17878.87,54.25,77.11,17992.55,17879.45,29,0,9,0,17996.75,2023-01-13 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,17903.7,2023-01-16 12:15:00+05:30
836,BUY,2023-01-17 09:45:00+05:30,17963.4,17984.1,17951.75,17984.1,0,17924.1,17915.65,17915.0,17909.06,30.79,73.79,17977.7,17858.95,7,0,4,0,17984.1,2023-01-17 09:45:00+05:30,NIFTY 50_ema_adx_rsi_v1,18081.7,2023-01-20 09:40:00+05:30
837,SELL,2023-01-20 14:30:00+05:30,18051.5,18053.55,18024.05,18024.55,0,18067.56,18085.47,18096.21,18089.24,24.66,24.62,18105.95,18042.85,0,15,0,3,18024.05,2023-01-20 14:30:00+05:30,NIFTY 50_ema_adx_rsi_v1,18103.8,2023-01-23 09:15:00+05:30
838,BUY,2023-01-24 09:35:00+05:30,18190.8,18200.75,18183.6,18196.75,0,18143.45,18127.58,18118.47,18107.2,21.82,71.88,18195.7,18097.5,5,0,70,0,18200.75,2023-01-24 09:35:00+05:30,NIFTY 50_ema_adx_rsi_v1,18110.8,2023-01-24 13:30:00+05:30
839,SELL,2023-01-25 09:20:00+05:30,18059.5,18060.25,18042.15,18047.85,0,18102.63,18114.78,18120.38,18116.39,22.15,24.96,18134.4,18057.8,0,5,0,1,18042.15,2023-01-25 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v1,17668.95,2023-01-31 13:15:00+05:30
840,BUY,2023-02-01 10:45:00+05:30,17803.5,17824.6,17803.5,17824.0,0,17771.58,17716.66,17673.62,17673.13,38.0,71.29,17814.25,17665.1,29,0,16,0,17824.6,2023-02-01 10:45:00+05:30,NIFTY 50_ema_adx_rsi_v1,17710.15,2023-02-01 13:50:00+05:30
841,BUY,2023-02-03 14:20:00+05:30,17755.85,17788.15,17753.4,17784.95,0,17726.83,17690.33,17664.34,17657.11,24.52,73.23,17764.95,17678.75,34,0,22,0,17788.15,2023-02-03 14:20:00+05:30,NIFTY 50_ema_adx_rsi_v1,17723.95,2023-02-07 12:10:00+05:30
842,BUY,2023-02-07 14:45:00+05:30,17753.35,17766.1,17753.35,17760.2,0,17726.13,17725.25,17729.94,17722.26,26.96,65.0,17754.1,17652.6,4,0,4,0,17766.1,2023-02-07 14:45:00+05:30,NIFTY 50_ema_adx_rsi_v1,17720.0,2023-02-07 15:10:00+05:30
843,BUY,2023-02-08 09:15:00+05:30,17750.3,17793.2,17745.3,17788.9,0,17733.04,17729.05,17731.25,17723.61,21.77,66.7,17778.6,17700.5,1,0,13,0,17793.2,2023-02-08 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v1,17789.7,2023-02-09 09:40:00+05:30
844,BUY,2023-02-09 13:50:00+05:30,17886.7,17898.75,17882.6,17896.2,0,17854.05,17852.21,17844.58,17818.19,20.76,70.26,17888.8,17822.8,5,0,143,0,17898.75,2023-02-09 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,17815.5,2023-02-10 09:30:00+05:30
845,SELL,2023-02-13 10:05:00+05:30,17766.85,17766.85,17736.1,17746.6,0,17816.03,17831.26,17838.63,17833.77,23.24,26.0,17879.8,17767.3,0,9,0,1,17736.1,2023-02-13 10:05:00+05:30,NIFTY 50_ema_adx_rsi_v1,17818.05,2023-02-14 09:15:00+05:30
846,BUY,2023-02-14 11:40:00+05:30,17860.35,17871.35,17858.3,17870.85,0,17846.36,17823.95,17812.79,17812.71,24.35,68.08,17869.2,17820.45,30,0,11,0,17871.35,2023-02-14 11:40:00+05:30,NIFTY 50_ema_adx_rsi_v1,17968.85,2023-02-17 09:15:00+05:30
