,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
880,SELL,2022-12-09 10:30:00+05:30,18581.35,18581.35,18563.2,18563.95,0,18605.5,18601.16,18597.23,18604.4,21.09,31.96,18662.4,18577.95,18563.2,2022-12-09 10:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,18536.15,2022-12-13 09:15:00+05:30
881,BUY,2022-12-13 11:40:00+05:30,18576.35,18592.05,18574.55,18590.75,0,18552.21,18524.1,18510.99,18520.66,40.72,76.18,18587.6,18506.4,18592.05,2022-12-13 11:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,18579.65,2022-12-15 09:30:00+05:30
882,SELL,2022-12-15 11:50:00+05:30,18565.15,18566.0,18555.45,18557.8,0,18575.56,18599.02,18611.44,18601.21,44.86,29.52,18593.7,18559.1,18555.45,2022-12-15 11:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,18407.6,2022-12-19 14:55:00+05:30
883,SELL,2022-12-20 09:15:00+05:30,18340.3,18351.35,18310.85,18324.4,0,18388.95,18371.37,18366.51,18397.11,36.43,31.69,18431.25,18352.25,18310.85,2022-12-20 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,18333.9,2022-12-20 14:50:00+05:30
884,SELL,2022-12-21 12:50:00+05:30,18289.65,18291.5,18273.75,18274.25,0,18324.72,18338.35,18333.24,18343.0,24.71,29.58,18387.05,18279.95,18273.75,2022-12-21 12:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,18014.55,2022-12-26 14:15:00+05:30
885,SELL,2022-12-27 09:45:00+05:30,17995.45,18006.35,17969.95,17971.6,0,18027.95,18010.54,17991.91,18017.7,22.72,39.34,18133.4,17984.35,17969.95,2022-12-27 09:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,18033.85,2022-12-27 10:25:00+05:30
886,BUY,2022-12-27 13:50:00+05:30,18092.65,18109.75,18092.65,18108.2,0,18062.16,18046.72,18027.21,18028.71,22.43,72.22,18096.15,18014.85,18109.75,2022-12-27 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,18029.25,2022-12-29 09:15:00+05:30
887,BUY,2022-12-29 15:00:00+05:30,18140.85,18177.85,18140.85,18175.45,0,18099.8,18073.56,18071.48,18070.54,41.35,81.7,18157.3,18033.85,18177.85,2022-12-29 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,18088.05,2022-12-30 15:00:00+05:30
888,BUY,2023-01-03 13:50:00+05:30,18209.55,18220.5,18209.55,18217.0,0,18197.39,18198.58,18193.5,18177.86,25.07,62.23,18210.65,18162.5,18220.5,2023-01-03 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,18174.15,2023-01-04 09:35:00+05:30
889,SELL,2023-01-04 11:05:00+05:30,18118.3,18118.3,18094.15,18097.45,0,18148.96,18175.44,18185.55,18180.08,35.64,28.65,18238.65,18114.0,18094.15,2023-01-04 11:05:00+05:30,NIFTY 50_ema_adx_rsi_v2,17969.2,2023-01-09 09:15:00+05:30
