,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
53,SELL,2024-05-23 19:45:00+05:30,94790,94814,94500,94605,151,95053.17,95017.83,95063.83,95463.01,25.56,38.42,95751,94699,94500,2024-05-23 19:45:00+05:30,SILVERMIC 50_v2_v2,95044,2024-05-24 11:15:00+05:30
54,SELL,2024-05-24 12:20:00+05:30,94705,94707,94570,94596,44,94788.4,94723.86,94730.73,94983.3,24.69,39.24,95126,94638,94570,2024-05-24 12:20:00+05:30,SILVERMIC 50_v2_v2,94939,2024-05-24 14:20:00+05:30
55,SELL,2024-05-24 21:35:00+05:30,94325,94344,94229,94229,71,94544.13,94672.14,94728.01,94828.3,24.89,29.95,94840,94293,94229,2024-05-24 21:35:00+05:30,SILVERMIC 50_v2_v2,95400,2024-05-27 09:00:00+05:30
56,BUY,2024-05-27 16:45:00+05:30,95865,95879,95853,95865,21,95776.63,95697.57,95530.17,95313.31,21.62,69.19,95859,95655,95879,2024-05-27 16:45:00+05:30,SILVERMIC 50_v2_v2,98871,2024-05-29 18:15:00+05:30
57,BUY,2024-05-29 19:45:00+05:30,99400,99489,99400,99450,64,99138.68,99174.87,99220.41,99024.37,27.12,60.71,99431,98479,99489,2024-05-29 19:45:00+05:30,SILVERMIC 50_v2_v2,98508,2024-05-30 09:00:00+05:30
58,SELL,2024-05-30 10:55:00+05:30,98480,98482,98450,98456,59,98675.68,98928.12,99080.23,99058.32,24.84,34.94,98869,98465,98450,2024-05-30 10:55:00+05:30,SILVERMIC 50_v2_v2,98457,2024-05-30 19:00:00+05:30
59,SELL,2024-05-30 21:30:00+05:30,98036,98036,97850,97850,30,98079.5,98128.24,98187.31,98367.75,27.64,37.9,98671,97861,97850,2024-05-30 21:30:00+05:30,SILVERMIC 50_v2_v2,97680,2024-05-31 15:40:00+05:30
60,BUY,2024-05-31 18:30:00+05:30,98235,98750,98235,98599,367,97931.93,97702.32,97593.44,97700.4,38.73,81.02,98262,97550,98750,2024-05-31 18:30:00+05:30,SILVERMIC 50_v2_v2,97600,2024-05-31 19:40:00+05:30
61,SELL,2024-05-31 20:30:00+05:30,97116,97116,96827,96999,257,97555.87,97689.58,97649.45,97715.22,34.07,30.65,98457,97047,96827,2024-05-31 20:30:00+05:30,SILVERMIC 50_v2_v2,95820,2024-06-03 18:25:00+05:30
62,BUY,2024-06-04 11:30:00+05:30,96048,96459,96048,96410,98,96094.94,96006.17,95836.59,95826.44,29.47,63.56,96320,95841,96459,2024-06-04 11:30:00+05:30,SILVERMIC 50_v2_v2,95800,2024-06-04 12:55:00+05:30
63,SELL,2024-06-04 14:35:00+05:30,94371,94380,93870,93908,525,94928.68,95419.5,95604.16,95715.4,43.33,19.84,95994,94245,93870,2024-06-04 14:35:00+05:30,SILVERMIC 50_v2_v2,93870,2024-06-05 18:45:00+05:30
64,BUY,2024-06-05 21:45:00+05:30,94260,94451,94250,94445,130,94071.03,93850.37,93735.27,93849.26,24.99,67.42,94298,93653,94451,2024-06-05 21:45:00+05:30,SILVERMIC 50_v2_v2,96601,2024-06-07 14:05:00+05:30
65,SELL,2024-06-07 16:15:00+05:30,95770,95770,95525,95541,114,95997.52,96521.93,96783.83,96546.92,66.38,27.88,96400,95558,95525,2024-06-07 16:15:00+05:30,SILVERMIC 50_v2_v2,94195,2024-06-10 22:35:00+05:30
66,SELL,2024-06-11 09:30:00+05:30,92928,92943,92813,92855,212,93570.16,93794.06,93889.9,94105.83,33.6,22.17,94317,92919,92813,2024-06-11 09:30:00+05:30,SILVERMIC 50_v2_v2,93404,2024-06-11 17:40:00+05:30
67,BUY,2024-06-12 18:30:00+05:30,94561,95250,94561,95220,1844,94001.04,93678.84,93519.3,93428.53,41.13,87.53,94770,93230,95250,2024-06-12 18:30:00+05:30,SILVERMIC 50_v2_v2,93021,2024-06-13 09:00:00+05:30
68,SELL,2024-06-13 17:05:00+05:30,93003,93005,92879,92904,104,93156.48,93223.39,93351.63,93488.47,27.83,32.44,93421,92950,92879,2024-06-13 17:05:00+05:30,SILVERMIC 50_v2_v2,93478,2024-06-13 18:00:00+05:30
69,SELL,2024-06-13 19:40:00+05:30,93078,93078,92876,92899,273,93216.49,93224.84,93290.09,93415.06,20.57,39.69,93650,92916,92876,2024-06-13 19:40:00+05:30,SILVERMIC 50_v2_v2,93010,2024-06-14 13:35:00+05:30
70,BUY,2024-06-14 17:10:00+05:30,93240,93435,93213,93435,165,93165.44,93027.18,92939.32,92981.72,34.71,71.97,93318,92860,93435,2024-06-14 17:10:00+05:30,SILVERMIC 50_v2_v2,93006,2024-06-14 18:55:00+05:30
71,BUY,2024-06-17 18:40:00+05:30,93507,93690,93464,93644,185,93325.69,93276.42,93197.65,93126.46,23.45,66.74,93508,92639,93690,2024-06-17 18:40:00+05:30,SILVERMIC 50_v2_v2,92924,2024-06-17 21:05:00+05:30
72,SELL,2024-06-18 14:05:00+05:30,92981,93021,92912,92953,171,93155.59,93302.39,93353.36,93315.3,41.27,29.52,93472,92988,92912,2024-06-18 14:05:00+05:30,SILVERMIC 50_v2_v2,93229,2024-06-18 18:35:00+05:30
73,BUY,2024-06-18 22:55:00+05:30,93583,93650,93574,93612,185,93489.01,93400.03,93330.8,93292.73,21.12,60.6,93586,93381,93650,2024-06-18 22:55:00+05:30,SILVERMIC 50_v2_v2,93338,2024-06-19 12:05:00+05:30
74,BUY,2024-06-19 13:25:00+05:30,93661,93711,93659,93709,72,93568.95,93518.44,93462.44,93393.04,20.79,66.6,93697,93326,93711,2024-06-19 13:25:00+05:30,SILVERMIC 50_v2_v2,93455,2024-06-19 17:50:00+05:30
75,BUY,2024-06-19 21:30:00+05:30,93790,93890,93790,93883,249,93702.38,93644.88,93607.34,93539.2,37.13,65.9,93825,93516,93890,2024-06-19 21:30:00+05:30,SILVERMIC 50_v2_v2,95500,2024-06-21 12:10:00+05:30
